,sensor_id,date_time,value,sensor_type,latitude,longitude,air_quality
25311,5586,01-01-2025 00:00,45.7,Nitrogen Dioxide(NO2),45.691044,9.64366225,Good
51274,5587,01-01-2025 00:00,53.4,Nitrogen Dioxide(NO2),45.69568669,9.66126061,Good
76849,5591,01-01-2025 00:00,17.7,Nitrogen Dioxide(NO2),45.71630489,10.04477436,Good
102524,5595,01-01-2025 00:00,51.1,Nitrogen Dioxide(NO2),45.51933533,9.59201917,Good
127341,5598,01-01-2025 00:00,26.8,Nitrogen Dioxide(NO2),45.63387247,9.55609572,Good
153390,5599,01-01-2025 00:00,47.2,Nitrogen Dioxide(NO2),45.62055568,9.61173782,Good
179257,5601,01-01-2025 00:00,29.5,Nitrogen Dioxide(NO2),45.08199189,9.70079278,Good
204949,5794,01-01-2025 00:00,0.7,Carbon Monoxide(CO),45.69568669,9.66126061,Good
230386,5798,01-01-2025 00:00,1.8,Carbon Monoxide(CO),45.81504217,9.06697886,Good
256581,5805,01-01-2025 00:00,0.7,Carbon Monoxide(CO),45.85019631,9.39558125,Good
281736,5809,01-01-2025 00:00,1.6,Carbon Monoxide(CO),45.30601628,9.48527511,Good
307451,5812,01-01-2025 00:00,1,Carbon Monoxide(CO),45.39619767,9.28269897,Good
332685,5814,01-01-2025 00:00,2,Carbon Monoxide(CO),45.54852147,8.84732669,Good
932626,5827,02-07-2023 03:00,0.6,Carbon Monoxide(CO),45.49631883,9.19093444,Good
384081,6204,01-01-2025 00:00,131.5,Nitrogen Oxides(NOx),45.51933533,9.59201917,Moderate
338230,6366,01-01-2025 00:00,317.7,Nitrogen Oxides(NOx),45.46334886,9.19532511,Unhealthy
389697,6374,01-01-2025 00:00,25.7,Nitrogen Oxides(NOx),46.46952397,10.37543275,Good
415649,6380,01-01-2025 00:00,66.1,Nitrogen Oxides(NOx),46.135486,9.56624,Good
441369,6382,01-01-2025 00:00,96.6,Nitrogen Oxides(NOx),46.16797103,9.87014581,Good
467291,6386,01-01-2025 00:00,299.8,Nitrogen Oxides(NOx),45.58289429,8.84216546,Unhealthy
493552,6398,01-01-2025 00:00,123.4,Nitrogen Oxides(NOx),45.62735705,9.02640138,Moderate
518316,6831,01-01-2025 00:00,55.2,Nitrogen Oxides(NOx),45.46375819,10.48078183,Good
543346,6832,01-01-2025 00:00,6.7,Ozone(O3),45.46375819,10.48078183,Good
568531,6841,01-01-2025 00:00,20.1,Nitrogen Dioxide(NO2),45.64605175,10.38929672,Good
593716,6845,01-01-2025 00:00,35.3,Nitrogen Oxides(NOx),45.64605175,10.38929672,Good
619749,6859,01-01-2025 00:00,26.5,Nitrogen Dioxide(NO2),45.51571417,10.33624003,Good
645692,9968,01-01-2025 00:00,99.2,Nitrogen Oxides(NOx),45.84221272,9.35166247,Good
671636,9969,01-01-2025 00:00,49.3,Nitrogen Dioxide(NO2),45.84221272,9.35166247,Good
697089,9971,01-01-2025 00:00,1.2,Carbon Monoxide(CO),45.84221272,9.35166247,Good
722942,9972,01-01-2025 00:00,8.8,Ozone(O3),45.84221272,9.35166247,Good
724026,9976,01-01-2025 00:00,42,PM10,45.84221272,9.35166247,Good
725045,9978,01-01-2025 00:00,132,PM2.5,45.49822794,9.55624181,Unhealthy
726064,9983,01-01-2025 00:00,63,PM2.5,45.04008561,8.91415717,Moderate
727086,9984,01-01-2025 00:00,77,PM2.5,45.51306214,10.19190606,Moderate
728139,9985,01-01-2025 00:00,89,PM2.5,45.30601628,9.48527511,Moderate
754301,9991,01-01-2025 00:00,86.8,Ozone(O3),45.91279097,9.49754261,Good
763246,10451,01-01-2025 00:00,156.8,Nitrogen Oxides(NOx),45.30278678,9.49528589,Moderate
789158,10452,01-01-2025 00:00,58.3,Nitrogen Dioxide(NO2),45.30278678,9.49528589,Good
814843,10454,01-01-2025 00:00,3.4,Ozone(O3),45.30278678,9.49528589,Good
815891,10456,01-01-2025 00:00,108,PM2.5,45.30278678,9.49528589,Unhealthy
841195,10457,01-01-2025 00:00,52.1,Nitrogen Oxides(NOx),45.23349689,9.66625758,Good
866500,10458,01-01-2025 00:00,35.8,Nitrogen Dioxide(NO2),45.23349689,9.66625758,Good
891971,10463,27-12-2024 18:00,9.8,Ozone(O3),45.23349689,9.66625758,Good
893018,10483,01-01-2025 00:00,120,PM10,45.30278678,9.49528589,Moderate
894075,10484,01-01-2025 00:00,108,PM10,45.23349689,9.66625758,Moderate
895044,10491,01-01-2025 00:00,11,PM10,45.91279097,9.49754261,Good
920541,10505,01-01-2025 00:00,98,Nitrogen Oxides(NOx),45.64971,9.60123469,Good
